Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-IME-Roaming/Analytic,Task ID: Ime Roaming Perf Setting Handler GetUnit,Start,,Windows 8,8,Pro,1970/01/01,9200,,
1,0,Information,Microsoft-Windows-IME-Roaming/Analytic,Task ID: Ime Roaming Perf Setting Handler GetUnit,Start,,Windows Server 2012,RTM,Standard,2012/08/01,9200,,
2,0,Information,Microsoft-Windows-IME-Roaming/Analytic,Task ID: Ime Roaming Perf Setting Handler GetUnit,Stop,,Windows 8,8,Pro,1970/01/01,9200,,
2,0,Information,Microsoft-Windows-IME-Roaming/Analytic,Task ID: Ime Roaming Perf Setting Handler GetUnit,Stop,,Windows Server 2012,RTM,Standard,2012/08/01,9200,,
3,0,Information,Microsoft-Windows-IME-Roaming/Analytic,Task ID: Ime Roaming Perf Setting Handler GetUnit,Start,,Windows 8,8,Pro,1970/01/01,9200,,
3,0,Information,Microsoft-Windows-IME-Roaming/Analytic,Task ID: Ime Roaming Perf Setting Handler GetUnit,Start,,Windows Server 2012,RTM,Standard,2012/08/01,9200,,
4,0,Information,Microsoft-Windows-IME-Roaming/Analytic,Task ID: Ime Roaming Perf Setting Handler GetUnit,Stop,,Windows 8,8,Pro,1970/01/01,9200,,
4,0,Information,Microsoft-Windows-IME-Roaming/Analytic,Task ID: Ime Roaming Perf Setting Handler GetUnit,Stop,,Windows Server 2012,RTM,Standard,2012/08/01,9200,,
10,0,Information,Microsoft-Windows-IME-Roaming/Analytic,Task ID: Ime Roaming Perf Setting Handler ApplyUnit,Start,,Windows 8,8,Pro,1970/01/01,9200,,
10,0,Information,Microsoft-Windows-IME-Roaming/Analytic,Task ID: Ime Roaming Perf Setting Handler ApplyUnit,Start,,Windows Server 2012,RTM,Standard,2012/08/01,9200,,
11,0,Information,Microsoft-Windows-IME-Roaming/Analytic,Task ID: Ime Roaming Perf Setting Handler ApplyUnit,Stop,,Windows 8,8,Pro,1970/01/01,9200,,
11,0,Information,Microsoft-Windows-IME-Roaming/Analytic,Task ID: Ime Roaming Perf Setting Handler ApplyUnit,Stop,,Windows Server 2012,RTM,Standard,2012/08/01,9200,,
12,0,Information,Microsoft-Windows-IME-Roaming/Analytic,Task ID: Ime Roaming Perf Setting Handler ApplyUnit,Start,,Windows 8,8,Pro,1970/01/01,9200,,
12,0,Information,Microsoft-Windows-IME-Roaming/Analytic,Task ID: Ime Roaming Perf Setting Handler ApplyUnit,Start,,Windows Server 2012,RTM,Standard,2012/08/01,9200,,
13,0,Information,Microsoft-Windows-IME-Roaming/Analytic,Task ID: Ime Roaming Perf Setting Handler ApplyUnit,Stop,,Windows 8,8,Pro,1970/01/01,9200,,
13,0,Information,Microsoft-Windows-IME-Roaming/Analytic,Task ID: Ime Roaming Perf Setting Handler ApplyUnit,Stop,,Windows Server 2012,RTM,Standard,2012/08/01,9200,,
