Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
21,0,Information,Microsoft-Windows-IME-SCTIP/Analytic,Task ID: IME Candidate Open,Start,,Windows 8,8,Pro,1970/01/01,9200,,
21,0,Information,Microsoft-Windows-IME-SCTIP/Analytic,Task ID: IME Candidate Open,Start,,Windows Server 2012,RTM,Standard,2012/08/01,9200,,
22,0,Information,Microsoft-Windows-IME-SCTIP/Analytic,Task ID: IME Candidate Open,Stop,,Windows 8,8,Pro,1970/01/01,9200,,
22,0,Information,Microsoft-Windows-IME-SCTIP/Analytic,Task ID: IME Candidate Open,Stop,,Windows Server 2012,RTM,Standard,2012/08/01,9200,,
23,0,Information,Microsoft-Windows-IME-SCTIP/Analytic,Task ID: IME Candidate Close,Start,,Windows 8,8,Pro,1970/01/01,9200,,
23,0,Information,Microsoft-Windows-IME-SCTIP/Analytic,Task ID: IME Candidate Close,Start,,Windows Server 2012,RTM,Standard,2012/08/01,9200,,
24,0,Information,Microsoft-Windows-IME-SCTIP/Analytic,Task ID: IME Candidate Close,Stop,,Windows 8,8,Pro,1970/01/01,9200,,
24,0,Information,Microsoft-Windows-IME-SCTIP/Analytic,Task ID: IME Candidate Close,Stop,,Windows Server 2012,RTM,Standard,2012/08/01,9200,,
25,0,Information,Microsoft-Windows-IME-SCTIP/Analytic,Task ID: IME Invoke Command,Start,,Windows 8,8,Pro,1970/01/01,9200,,
25,0,Information,Microsoft-Windows-IME-SCTIP/Analytic,Task ID: IME Invoke Command,Start,,Windows Server 2012,RTM,Standard,2012/08/01,9200,,
26,0,Information,Microsoft-Windows-IME-SCTIP/Analytic,Task ID: IME Invoke Command,Stop,,Windows 8,8,Pro,1970/01/01,9200,,
26,0,Information,Microsoft-Windows-IME-SCTIP/Analytic,Task ID: IME Invoke Command,Stop,,Windows Server 2012,RTM,Standard,2012/08/01,9200,,
30,0,Information,Microsoft-Windows-IME-SCTIP/Analytic,Task ID: IME_CHS_HWKBD_CandUIProcess,,,Windows 8,8,Pro,1970/01/01,9200,EAIME_IME_CHS_HWKBD_CandUIProcess_Info,
30,0,Information,Microsoft-Windows-IME-SCTIP/Analytic,Task ID: IME_CHS_HWKBD_CandUIProcess,,,Windows Server 2012,RTM,Standard,2012/08/01,9200,EAIME_IME_CHS_HWKBD_CandUIProcess_Info,
