Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,2,Information,Microsoft-Windows-SMBServer/Performance,Smb2RequestNegotiate,,Request,Windows 8,8,Pro,1970/01/01,9200,Smb2 Request Negotiate,
1,2,Information,Microsoft-Windows-SMBServer/Performance,Smb2RequestNegotiate,,Request,Windows Server 2012,RTM,Standard,2012/08/01,9200,Smb2 Request Negotiate,
2,2,Information,Microsoft-Windows-SMBServer/Performance,Smb2RequestSessionSetup,,Request,Windows 8,8,Pro,1970/01/01,9200,Smb2 Request Session Setup,
2,2,Information,Microsoft-Windows-SMBServer/Performance,Smb2RequestSessionSetup,,Request,Windows Server 2012,RTM,Standard,2012/08/01,9200,Smb2 Request Session Setup,
3,2,Information,Microsoft-Windows-SMBServer/Performance,Smb2RequestLogoff,,Request,Windows 8,8,Pro,1970/01/01,9200,Smb2 Request Logoff,
3,2,Information,Microsoft-Windows-SMBServer/Performance,Smb2RequestLogoff,,Request,Windows Server 2012,RTM,Standard,2012/08/01,9200,Smb2 Request Logoff,
4,2,Information,Microsoft-Windows-SMBServer/Performance,Smb2RequestTreeConnect,,Request,Windows 8,8,Pro,1970/01/01,9200,Smb2 Request Tree Connect,
4,2,Information,Microsoft-Windows-SMBServer/Performance,Smb2RequestTreeConnect,,Request,Windows Server 2012,RTM,Standard,2012/08/01,9200,Smb2 Request Tree Connect,
5,2,Information,Microsoft-Windows-SMBServer/Performance,Smb2RequestTreeDisconnect,,Request,Windows 8,8,Pro,1970/01/01,9200,Smb2 Request Tree Disconnect,
5,2,Information,Microsoft-Windows-SMBServer/Performance,Smb2RequestTreeDisconnect,,Request,Windows Server 2012,RTM,Standard,2012/08/01,9200,Smb2 Request Tree Disconnect,
6,2,Information,Microsoft-Windows-SMBServer/Performance,Smb2RequestEcho,,Request,Windows 8,8,Pro,1970/01/01,9200,Smb2 Request Echo,
6,2,Information,Microsoft-Windows-SMBServer/Performance,Smb2RequestEcho,,Request,Windows Server 2012,RTM,Standard,2012/08/01,9200,Smb2 Request Echo,
7,2,Information,Microsoft-Windows-SMBServer/Performance,Smb2RequestCancel,,Request,Windows 8,8,Pro,1970/01/01,9200,Smb2 Request Cancel,
7,2,Information,Microsoft-Windows-SMBServer/Performance,Smb2RequestCancel,,Request,Windows Server 2012,RTM,Standard,2012/08/01,9200,Smb2 Request Cancel,
8,2,Information,Microsoft-Windows-SMBServer/Performance,Smb2RequestCreate,,Request,Windows 8,8,Pro,1970/01/01,9200,Smb2 Request Create,
8,2,Information,Microsoft-Windows-SMBServer/Performance,Smb2RequestCreate,,Request,Windows Server 2012,RTM,Standard,2012/08/01,9200,Smb2 Request Create,
9,2,Information,Microsoft-Windows-SMBServer/Performance,Smb2RequestClose,,Request,Windows 8,8,Pro,1970/01/01,9200,Smb2 Request Close,
9,2,Information,Microsoft-Windows-SMBServer/Performance,Smb2RequestClose,,Request,Windows Server 2012,RTM,Standard,2012/08/01,9200,Smb2 Request Close,
10,2,Information,Microsoft-Windows-SMBServer/Performance,Smb2RequestFlush,,Request,Windows 8,8,Pro,1970/01/01,9200,Smb2 Request Flush,
10,2,Information,Microsoft-Windows-SMBServer/Performance,Smb2RequestFlush,,Request,Windows Server 2012,RTM,Standard,2012/08/01,9200,Smb2 Request Flush,
11,2,Information,Microsoft-Windows-SMBServer/Performance,Smb2RequestRead,,Request,Windows 8,8,Pro,1970/01/01,9200,Smb2 Request Read,
11,2,Information,Microsoft-Windows-SMBServer/Performance,Smb2RequestRead,,Request,Windows Server 2012,RTM,Standard,2012/08/01,9200,Smb2 Request Read,
12,2,Information,Microsoft-Windows-SMBServer/Performance,Smb2RequestWrite,,Request,Windows 8,8,Pro,1970/01/01,9200,Smb2 Request Write,
12,2,Information,Microsoft-Windows-SMBServer/Performance,Smb2RequestWrite,,Request,Windows Server 2012,RTM,Standard,2012/08/01,9200,Smb2 Request Write,
13,2,Information,Microsoft-Windows-SMBServer/Performance,Smb2RequestBreakOplock,,Request,Windows 8,8,Pro,1970/01/01,9200,Smb2 Request Break Oplock,
13,2,Information,Microsoft-Windows-SMBServer/Performance,Smb2RequestBreakOplock,,Request,Windows Server 2012,RTM,Standard,2012/08/01,9200,Smb2 Request Break Oplock,
14,2,Information,Microsoft-Windows-SMBServer/Performance,Smb2RequestNotifyBreakLease,,Request,Windows 8,8,Pro,1970/01/01,9200,Smb2 Request Notify Break Lease,
14,2,Information,Microsoft-Windows-SMBServer/Performance,Smb2RequestNotifyBreakLease,,Request,Windows Server 2012,RTM,Standard,2012/08/01,9200,Smb2 Request Notify Break Lease,
15,2,Information,Microsoft-Windows-SMBServer/Performance,Smb2RequestAcknowledgeBreakLease,,Request,Windows 8,8,Pro,1970/01/01,9200,Smb2 Request Acknowledge Break Lease,
15,2,Information,Microsoft-Windows-SMBServer/Performance,Smb2RequestAcknowledgeBreakLease,,Request,Windows Server 2012,RTM,Standard,2012/08/01,9200,Smb2 Request Acknowledge Break Lease,
16,2,Information,Microsoft-Windows-SMBServer/Performance,Smb2RequestLock,,Request,Windows 8,8,Pro,1970/01/01,9200,Smb2 Request Lock,
